sid,search,"splunk_server","_time","is_realtime","ui_dispatch_view","api_et","api_lt","event_count","exec_time","result_count","savedsearch_name","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_ui_dispatch_view","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"admin__admin__SplunkDeploymentMonitor_RE0gaW5kZXh0aHJ1IHRvZGF5IHZzIGxhc3Qgd2Vlaw_1335245515.2","search index=""summary_indexers"" | timechart partial=f span=30m per_second(kb) as KBps | eval marker = ""today"" | eval _time = _time+1800 | append [search index=""summary_indexers"" earliest=-7d@d-30m latest=-6d@d-30m | timechart span=30m per_second(kb) as KBps | eval marker = ""this day last week"" | eval _time = _time+86400*7+1800] | timechart median(KBps) by marker","linux-ahv8.site-bigjava","1335245515.853742",0,home,"1335198600.000000000","1335285000.000000000",0,1335245517,0,"DM indexthru today vs last week",0,"1335198600.000000000","1335285000.000000000",completed,"2.419000",,,,,,,,,,,,,,,,,
"admin__admin__SplunkDeploymentMonitor_RE0gaW5kZXh0aHJ1IHdlZWsgb3ZlciB3ZWVr_1335245515.3","search index=""summary_indexers"" | timechart partial=f span=30m per_second(kb) as KBps | addinfo | eval marker = if(_time < info_min_time + 7*86400, ""last week"", ""this week"") | eval _time = if(_time < info_min_time + 7*86400, _time + 7*86400+1800, _time+1800) | chart median(KBps) by _time marker","linux-ahv8.site-bigjava","1335245515.860370",0,home,"1334075400.000000000","1335285000.000000000",0,1335245516,0,"DM indexthru week over week",0,"1334075400.000000000","1335285000.000000000",completed,"1.755000",,,,,,,,,,,,,,,,,
"admin__admin__SplunkDeploymentMonitor_RE0gaW5kZXh0aHJ1IHRvZGF5IHZzIGxhc3Qgd2Vlaw_1335245536.4","search index=""summary_indexers"" | timechart partial=f span=30m per_second(kb) as KBps | eval marker = ""today"" | eval _time = _time+1800 | append [search index=""summary_indexers"" earliest=-7d@d-30m latest=-6d@d-30m | timechart span=30m per_second(kb) as KBps | eval marker = ""this day last week"" | eval _time = _time+86400*7+1800] | timechart median(KBps) by marker","linux-ahv8.site-bigjava","1335245536.485575",0,home,"1335198600.000000000","1335285000.000000000",0,1335245537,0,"DM indexthru today vs last week",0,"1335198600.000000000","1335285000.000000000",completed,"2.794000",,,,,,,,,,,,,,,,,
"admin__admin__SplunkDeploymentMonitor_RE0gaW5kZXh0aHJ1IHdlZWsgb3ZlciB3ZWVr_1335245536.5","search index=""summary_indexers"" | timechart partial=f span=30m per_second(kb) as KBps | addinfo | eval marker = if(_time < info_min_time + 7*86400, ""last week"", ""this week"") | eval _time = if(_time < info_min_time + 7*86400, _time + 7*86400+1800, _time+1800) | chart median(KBps) by _time marker","linux-ahv8.site-bigjava","1335245536.509635",0,home,"1334075400.000000000","1335285000.000000000",0,1335245537,0,"DM indexthru week over week",0,"1334075400.000000000","1335285000.000000000",completed,"2.209000",,,,,,,,,,,,,,,,,
"admin__admin__SplunkDeploymentMonitor_RE0gaW5kZXh0aHJ1IHRvZGF5IHZzIGxhc3Qgd2Vlaw_1335245586.6","search index=""summary_indexers"" | timechart partial=f span=30m per_second(kb) as KBps | eval marker = ""today"" | eval _time = _time+1800 | append [search index=""summary_indexers"" earliest=-7d@d-30m latest=-6d@d-30m | timechart span=30m per_second(kb) as KBps | eval marker = ""this day last week"" | eval _time = _time+86400*7+1800] | timechart median(KBps) by marker","linux-ahv8.site-bigjava","1335245586.978171",0,home,"1335198600.000000000","1335285000.000000000",0,1335245588,0,"DM indexthru today vs last week",0,"1335198600.000000000","1335285000.000000000",completed,"2.835000",,,,,,,,,,,,,,,,,
"admin__admin__SplunkDeploymentMonitor_RE0gaW5kZXh0aHJ1IHdlZWsgb3ZlciB3ZWVr_1335245586.7","search index=""summary_indexers"" | timechart partial=f span=30m per_second(kb) as KBps | addinfo | eval marker = if(_time < info_min_time + 7*86400, ""last week"", ""this week"") | eval _time = if(_time < info_min_time + 7*86400, _time + 7*86400+1800, _time+1800) | chart median(KBps) by _time marker","linux-ahv8.site-bigjava","1335245586.997122",0,home,"1334075400.000000000","1335285000.000000000",0,1335245588,0,"DM indexthru week over week",0,"1334075400.000000000","1335285000.000000000",completed,"2.245000",,,,,,,,,,,,,,,,,
"admin__admin__SplunkDeploymentMonitor_RE0gaW5kZXh0aHJ1IHRvZGF5IHZzIGxhc3Qgd2Vlaw_1335245712.8","search index=""summary_indexers"" | timechart partial=f span=30m per_second(kb) as KBps | eval marker = ""today"" | eval _time = _time+1800 | append [search index=""summary_indexers"" earliest=-7d@d-30m latest=-6d@d-30m | timechart span=30m per_second(kb) as KBps | eval marker = ""this day last week"" | eval _time = _time+86400*7+1800] | timechart median(KBps) by marker","linux-ahv8.site-bigjava","1335245712.806651",0,home,"1335198600.000000000","1335285000.000000000",0,1335245714,0,"DM indexthru today vs last week",0,"1335198600.000000000","1335285000.000000000",completed,"2.512000",,,,,,,,,,,,,,,,,
"admin__admin__SplunkDeploymentMonitor_RE0gaW5kZXh0aHJ1IHdlZWsgb3ZlciB3ZWVr_1335245712.9","search index=""summary_indexers"" | timechart partial=f span=30m per_second(kb) as KBps | addinfo | eval marker = if(_time < info_min_time + 7*86400, ""last week"", ""this week"") | eval _time = if(_time < info_min_time + 7*86400, _time + 7*86400+1800, _time+1800) | chart median(KBps) by _time marker","linux-ahv8.site-bigjava","1335245712.885317",0,home,"1334075400.000000000","1335285000.000000000",0,1335245714,0,"DM indexthru week over week",0,"1334075400.000000000","1335285000.000000000",completed,"1.842000",,,,,,,,,,,,,,,,,
"admin__admin__SplunkDeploymentMonitor_RE0gaW5kZXh0aHJ1IHRvZGF5IHZzIGxhc3Qgd2Vlaw_1335432666.35","search index=""summary_indexers"" | timechart partial=f span=30m per_second(kb) as KBps | eval marker = ""today"" | eval _time = _time+1800 | append [search index=""summary_indexers"" earliest=-7d@d-30m latest=-6d@d-30m | timechart span=30m per_second(kb) as KBps | eval marker = ""this day last week"" | eval _time = _time+86400*7+1800] | timechart median(KBps) by marker","linux-ahv8.site-bigjava","1335432666.983167",0,home,"1335371400.000000000","1335457800.000000000",0,1335432668,0,"DM indexthru today vs last week",0,"1335371400.000000000","1335457800.000000000",completed,"5.828000",,,,,,,,,,,,,,,,,
"admin__admin__SplunkDeploymentMonitor_RE0gaW5kZXh0aHJ1IHdlZWsgb3ZlciB3ZWVr_1335432666.36","search index=""summary_indexers"" | timechart partial=f span=30m per_second(kb) as KBps | addinfo | eval marker = if(_time < info_min_time + 7*86400, ""last week"", ""this week"") | eval _time = if(_time < info_min_time + 7*86400, _time + 7*86400+1800, _time+1800) | chart median(KBps) by _time marker","linux-ahv8.site-bigjava","1335432667.000558",0,home,"1334248200.000000000","1335457800.000000000",1,1335432669,1,"DM indexthru week over week",1,"1334248200.000000000","1335457800.000000000",completed,"4.079000",,,,,,,,,,,,,,,,,
