05-02-2012 15:01:04.068 INFO  ApplicationManager - Initializing applications: /opt/splunk/etc/apps
05-02-2012 15:01:04.076 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkForwarder
05-02-2012 15:01:04.077 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/gettingstarted
05-02-2012 15:01:04.078 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Access
05-02-2012 15:01:04.079 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkDeploymentMonitor
05-02-2012 15:01:04.079 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/legacy
05-02-2012 15:01:04.079 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/launcher
05-02-2012 15:01:04.079 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Security
05-02-2012 15:01:04.080 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkLightForwarder
05-02-2012 15:01:04.080 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/user-prefs
05-02-2012 15:01:04.081 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/splunk_datapreview
05-02-2012 15:01:04.081 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/learned
05-02-2012 15:01:04.082 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/F5
05-02-2012 15:01:04.082 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/sample_app
05-02-2012 15:01:04.083 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/search
05-02-2012 15:01:04.083 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkforF5Networks
05-02-2012 15:01:04.084 INFO  ApplicationManager - Initialized 15 application(s): /opt/splunk/etc/apps
05-02-2012 15:01:04.084 INFO  ApplicationManager - Found 8 application(s) that might have global exports
05-02-2012 15:01:04.260 INFO  dispatchRunner - initing LicenseMgr in search process: nonPro=0
05-02-2012 15:01:04.262 INFO  LicenseMgr - Initing LicenseMgr
05-02-2012 15:01:04.278 INFO  ServerConfig - My GUID is "AE7C28AE-DB29-41C8-9480-4EBC75C88412".
05-02-2012 15:01:04.281 INFO  ServerConfig - My server name is "linux-ahv8.site-bigjava".
05-02-2012 15:01:04.281 INFO  ServerConfig - My hostname is "linux-ahv8.site".
05-02-2012 15:01:04.305 INFO  SSLCommon - added zlib compression
05-02-2012 15:01:04.315 INFO  ServerConfig - Setting HTTP server compression state=on
05-02-2012 15:01:04.316 INFO  ServerConfig - Setting HTTP client compression state=0 (false)
05-02-2012 15:01:04.316 INFO  ServerConfig - Default output queue for file-based input: parsingQueue.
05-02-2012 15:01:04.316 INFO  LMConfig - serverName=linux-ahv8.site-bigjava guid=AE7C28AE-DB29-41C8-9480-4EBC75C88412 
05-02-2012 15:01:04.316 INFO  LMConfig - connection_timeout=30
05-02-2012 15:01:04.316 INFO  LMConfig - send_timeout=30
05-02-2012 15:01:04.316 INFO  LMConfig - receive_timeout=30
05-02-2012 15:01:04.316 INFO  LMConfig - squash_threshold=1000
05-02-2012 15:01:04.316 INFO  LicenseMgr - Initing LicenseMgr is_splunkd=false
05-02-2012 15:01:04.317 INFO  LMStackMgr - closing stack mgr
05-02-2012 15:01:04.317 INFO  LMSlaveInfo - all slaves cleared
05-02-2012 15:01:04.349 INFO  LMStackMgr - created stack='download-trial'
05-02-2012 15:01:04.372 INFO  LMStackMgr - have to auto-set active stack group='Trial' reason='invalid/missing group id' gidStr='' oldGid=Invalid
05-02-2012 15:01:04.372 INFO  LMStackMgr - added pool auto_generated_pool_download-trial to stack download-trial
05-02-2012 15:01:04.373 INFO  LMStackMgr - added pool auto_generated_pool_forwarder to stack forwarder
05-02-2012 15:01:04.373 INFO  LMStackMgr - added pool auto_generated_pool_free to stack free
05-02-2012 15:01:04.373 INFO  LMStackMgr - init completed [AE7C28AE-DB29-41C8-9480-4EBC75C88412,Trial,0]
05-02-2012 15:01:04.373 INFO  LicenseMgr - StackMgr init complete...
05-02-2012 15:01:04.373 INFO  LMTracker - this is not splunkd, will perform partial init
05-02-2012 15:01:04.373 INFO  LMTracker - setting feature=Auth state=ENABLED (fs=1)
05-02-2012 15:01:04.373 INFO  LMTracker - setting feature=FwdData state=ENABLED (fs=1)
