04-24-2012 14:30:26.155 INFO  ApplicationManager - Initializing applications: /opt/splunk/etc/apps
04-24-2012 14:30:26.159 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkForwarder
04-24-2012 14:30:26.160 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/gettingstarted
04-24-2012 14:30:26.160 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkDeploymentMonitor
04-24-2012 14:30:26.160 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/legacy
04-24-2012 14:30:26.160 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/launcher
04-24-2012 14:30:26.160 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkLightForwarder
04-24-2012 14:30:26.160 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/user-prefs
04-24-2012 14:30:26.161 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/splunk_datapreview
04-24-2012 14:30:26.161 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/learned
04-24-2012 14:30:26.166 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/sample_app
04-24-2012 14:30:26.166 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/search
04-24-2012 14:30:26.166 INFO  ApplicationManager - Initialized 11 application(s): /opt/splunk/etc/apps
04-24-2012 14:30:26.166 INFO  ApplicationManager - Found 4 application(s) that might have global exports
04-24-2012 14:30:26.217 INFO  dispatchRunner - initing LicenseMgr in search process: nonPro=0
04-24-2012 14:30:26.223 INFO  LicenseMgr - Initing LicenseMgr
04-24-2012 14:30:26.226 INFO  ServerConfig - My GUID is "AE7C28AE-DB29-41C8-9480-4EBC75C88412".
04-24-2012 14:30:26.232 INFO  ServerConfig - My server name is "linux-ahv8.site-bigjava".
04-24-2012 14:30:26.233 INFO  ServerConfig - My hostname is "linux-ahv8.site".
04-24-2012 14:30:26.248 INFO  SSLCommon - added zlib compression
04-24-2012 14:30:26.250 INFO  ServerConfig - Setting HTTP server compression state=on
04-24-2012 14:30:26.255 INFO  ServerConfig - Setting HTTP client compression state=0 (false)
04-24-2012 14:30:26.256 INFO  ServerConfig - Default output queue for file-based input: parsingQueue.
04-24-2012 14:30:26.256 INFO  LMConfig - serverName=linux-ahv8.site-bigjava guid=AE7C28AE-DB29-41C8-9480-4EBC75C88412 
04-24-2012 14:30:26.256 INFO  LMConfig - connection_timeout=30
04-24-2012 14:30:26.256 INFO  LMConfig - send_timeout=30
04-24-2012 14:30:26.256 INFO  LMConfig - receive_timeout=30
04-24-2012 14:30:26.256 INFO  LMConfig - squash_threshold=1000
04-24-2012 14:30:26.256 INFO  LicenseMgr - Initing LicenseMgr is_splunkd=false
04-24-2012 14:30:26.256 INFO  LMStackMgr - closing stack mgr
04-24-2012 14:30:26.256 INFO  LMSlaveInfo - all slaves cleared
04-24-2012 14:30:26.271 INFO  LMStackMgr - created stack='download-trial'
04-24-2012 14:30:26.278 INFO  LMStackMgr - have to auto-set active stack group='Trial' reason='invalid/missing group id' gidStr='' oldGid=Invalid
04-24-2012 14:30:26.279 INFO  LMStackMgr - added pool auto_generated_pool_download-trial to stack download-trial
04-24-2012 14:30:26.279 INFO  LMStackMgr - added pool auto_generated_pool_forwarder to stack forwarder
04-24-2012 14:30:26.279 INFO  LMStackMgr - added pool auto_generated_pool_free to stack free
04-24-2012 14:30:26.279 INFO  LMStackMgr - init completed [AE7C28AE-DB29-41C8-9480-4EBC75C88412,Trial,0]
04-24-2012 14:30:26.279 INFO  LicenseMgr - StackMgr init complete...
04-24-2012 14:30:26.279 INFO  LMTracker - this is not splunkd, will perform partial init
04-24-2012 14:30:26.279 INFO  LMTracker - setting feature=Auth state=ENABLED (fs=1)
04-24-2012 14:30:26.279 INFO  LMTracker - setting feature=FwdData state=ENABLED (fs=1)
04-24-2012 14:30:26.279 INFO  LMTracker - setting feature=RcvData state=ENABLED (fs=1)
04-24-2012 14:30:26.279 INFO  LMTracker - setting feature=DistSearch state=ENABLED (fs=1)
04-24-2012 14:30:26.279 INFO  LMTracker - setting feature=RcvSearch state=ENABLED (fs=1)
04-24-2012 14:30:26.279 INFO  LMTracker - setting feature=ScheduledSearch state=ENABLED (fs=1)
04-24-2012 14:30:26.283 INFO  LMTracker - setting feature=Alerting state=ENABLED (fs=1)
04-24-2012 14:30:26.283 INFO  LMTracker - setting feature=DeployClient state=ENABLED (fs=1)
04-24-2012 14:30:26.283 INFO  LMTracker - setting feature=DeployServer state=ENABLED (fs=1)
04-24-2012 14:30:26.284 INFO  LMTracker - setting feature=SplunkWeb state=ENABLED (fs=1)
04-24-2012 14:30:26.284 INFO  LMTracker - setting feature=SyslogOutputProcessor state=ENABLED (fs=1)
04-24-2012 14:30:26.284 INFO  LMTracker - setting feature=SigningProcessor state=ENABLED (fs=1)
04-24-2012 14:30:26.284 INFO  LMTracker - setting feature=LocalSearch state=ENABLED (fs=1)
04-24-2012 14:30:26.284 INFO  LicenseMgr - Tracker init complete...
04-24-2012 14:30:26.308 INFO  AdminManager - added factory for admin handler: 'licenses'
04-24-2012 14:30:26.310 INFO  AdminManager - added factory for admin handler: 'pools'
04-24-2012 14:30:26.310 INFO  AdminManager - added factory for admin handler: 'stacks'
04-24-2012 14:30:26.310 INFO  AdminManager - added factory for admin handler: 'groups'
04-24-2012 14:30:26.310 INFO  AdminManager - added factory for admin handler: 'slaves'
04-24-2012 14:30:26.310 INFO  AdminManager - added factory for admin handler: 'localslave'
04-24-2012 14:30:26.310 INFO  AdminManager - added factory for admin handler: 'licensermessages'
04-24-2012 14:30:26.317 INFO  loader - Splunkd starting (build 119532).
04-24-2012 14:30:26.323 INFO  loader - System info: Linux, linux-ahv8.site, 3.1.0-1.2-default, #1 SMP Thu Nov 3 14:45:45 UTC 2011 (187dde0), i686.
04-24-2012 14:30:26.323 INFO  loader - Detected 1 (virtual) CPUs and 2929MB RAM
04-24-2012 14:30:26.324 INFO  loader - Arguments are: "splunkd" "search" "--id=scheduler__nobody__SplunkDeploymentMonitor_RE0gaWRsZSBpbmRleGVycw_at_1335252600_4a2a4e4cd6402192" "--maxbuckets=0" "--ttl=3600" "--maxout=500000" "--maxtime=0" "--lookups=1" "--reduce_freq=10" "--user=splunk-system-user" "--pro" "--roles=admin:power:user"
04-24-2012 14:30:26.324 INFO  loader - Getting configuration data from: /opt/splunk/etc/myinstall/splunkd.xml
04-24-2012 14:30:26.324 INFO  loader - SPLUNK_MODULE_PATH environment variable not found - defaulting to /opt/splunk/etc/modules
04-24-2012 14:30:26.324 INFO  loader - loading modules from /opt/splunk/etc/modules
04-24-2012 14:30:26.325 INFO  splunklogger - Module /opt/splunk/etc/modules/parsing loaded
04-24-2012 14:30:26.325 INFO  splunklogger - Module /opt/splunk/etc/modules/distributedDeployment/classes/deployable loaded
04-24-2012 14:30:26.325 INFO  splunklogger - Module /opt/splunk/etc/modules/distributedDeployment/classes/deploymentserver loaded
04-24-2012 14:30:26.326 INFO  splunklogger - Module /opt/splunk/etc/modules/distributedDeployment/classes loaded
04-24-2012 14:30:26.326 INFO  splunklogger - Module /opt/splunk/etc/modules/distributedDeployment loaded
04-24-2012 14:30:26.326 INFO  splunklogger - Module /opt/splunk/etc/modules/input/FIFO loaded
04-24-2012 14:30:26.328 INFO  splunklogger - Module /opt/splunk/etc/modules/input/UDP loaded
04-24-2012 14:30:26.328 INFO  splunklogger - Module /opt/splunk/etc/modules/input/exec loaded
04-24-2012 14:30:26.328 INFO  splunklogger - Module /opt/splunk/etc/modules/input/tailfile loaded
04-24-2012 14:30:26.330 INFO  splunklogger - Module /opt/splunk/etc/modules/input/TCP loaded
04-24-2012 14:30:26.330 INFO  splunklogger - Module /opt/splunk/etc/modules/input/fschangemanager loaded
04-24-2012 14:30:26.334 INFO  splunklogger - Module /opt/splunk/etc/modules/input/stashparsing loaded
04-24-2012 14:30:26.337 INFO  splunklogger - Module /opt/splunk/etc/modules/input loaded
04-24-2012 14:30:26.338 INFO  splunklogger - Module /opt/splunk/etc/modules/internal/scheduler loaded
04-24-2012 14:30:26.338 INFO  splunklogger - Module /opt/splunk/etc/modules/internal loaded
04-24-2012 14:30:26.338 INFO  loader - Writing out composite configuration file: /opt/splunk/var/run/splunk/composite.xml
04-24-2012 14:30:26.376 INFO  UserManagerPro - Load authentication: forcing roles="admin, power, user"
04-24-2012 14:30:26.402 INFO  IndexProcessor - setting process pool max groups=20
04-24-2012 14:30:26.404 INFO  IndexProcessor - setting process pool max groups low priority=1
04-24-2012 14:30:26.404 INFO  IndexProcessor - initializing with fullInit=0, reloading=0
04-24-2012 14:30:26.404 INFO  HotDBManager - index=_audit Setting hot mgr params: maxHotSpanSecs=7776000 snapBucketTimespans=false maxHotBuckets=3 maxDataSizeBytes=786432000 quarantinePastSecs=77760000 quarantineFutureSecs=2592000 
04-24-2012 14:30:26.405 INFO  AuditTrailManager - audit stanza does not exist in audit.conf - no signing will take place
04-24-2012 14:30:26.405 INFO  databasePartitionPolicy - index _audit initialized with [300,60,188697600,,,,786432000,20,true,500000,5,5,true,3,0,_blocksignature,7776000,1000000,0,3,77760000,2592000,131072,25,0,15,0,0,-1,18446744073709551615ms,2592000,true]
04-24-2012 14:30:26.405 INFO  HotDBManager - index=_blocksignature Setting hot mgr params: maxHotSpanSecs=7776000 snapBucketTimespans=false maxHotBuckets=3 maxDataSizeBytes=1048576000 quarantinePastSecs=77760000 quarantineFutureSecs=2592000 
04-24-2012 14:30:26.405 INFO  AuditTrailManager - audit stanza does not exist in audit.conf - no signing will take place
04-24-2012 14:30:26.405 INFO  databasePartitionPolicy - index _blocksignature initialized with [300,60,0,,,,1048576000,20,true,0,5,5,true,3,0,_blocksignature,7776000,1000000,0,3,77760000,2592000,131072,25,0,15,0,0,-1,18446744073709551615ms,2592000,true]
04-24-2012 14:30:26.405 INFO  HotDBManager - index=_internal Setting hot mgr params: maxHotSpanSecs=7776000 snapBucketTimespans=false maxHotBuckets=3 maxDataSizeBytes=104857600 quarantinePastSecs=77760000 quarantineFutureSecs=2592000 
04-24-2012 14:30:26.405 INFO  AuditTrailManager - audit stanza does not exist in audit.conf - no signing will take place
04-24-2012 14:30:26.405 INFO  databasePartitionPolicy - index _internal initialized with [300,60,2419200,,,,104857600,20,true,500000,5,5,true,3,0,_blocksignature,7776000,1000000,0,3,77760000,2592000,131072,25,0,15,0,0,-1,18446744073709551615ms,2592000,true]
04-24-2012 14:30:26.406 INFO  HotDBManager - index=_thefishbucket Setting hot mgr params: maxHotSpanSecs=7776000 snapBucketTimespans=false maxHotBuckets=3 maxDataSizeBytes=10485760 quarantinePastSecs=77760000 quarantineFutureSecs=2592000 
04-24-2012 14:30:26.406 INFO  AuditTrailManager - audit stanza does not exist in audit.conf - no signing will take place
04-24-2012 14:30:26.406 INFO  databasePartitionPolicy - index _thefishbucket initialized with [300,60,2419200,,,,10485760,20,true,500000,5,5,true,3,0,_blocksignature,7776000,1000000,0,3,77760000,2592000,131072,25,0,15,0,0,-1,18446744073709551615ms,2592000,true]
04-24-2012 14:30:26.406 INFO  HotDBManager - index=history Setting hot mgr params: maxHotSpanSecs=7776000 snapBucketTimespans=false maxHotBuckets=3 maxDataSizeBytes=10485760 quarantinePastSecs=77760000 quarantineFutureSecs=2592000 
04-24-2012 14:30:26.406 INFO  AuditTrailManager - audit stanza does not exist in audit.conf - no signing will take place
04-24-2012 14:30:26.406 INFO  databasePartitionPolicy - index history initialized with [300,60,604800,,,,10485760,20,true,500000,5,5,true,3,0,_blocksignature,7776000,1000000,0,3,77760000,2592000,131072,25,0,15,0,0,-1,18446744073709551615ms,2592000,true]
04-24-2012 14:30:26.406 INFO  HotDBManager - index=main Setting hot mgr params: maxHotSpanSecs=7776000 snapBucketTimespans=false maxHotBuckets=10 maxDataSizeBytes=1073741824 quarantinePastSecs=77760000 quarantineFutureSecs=2592000 
04-24-2012 14:30:26.406 INFO  AuditTrailManager - audit stanza does not exist in audit.conf - no signing will take place
04-24-2012 14:30:26.406 INFO  databasePartitionPolicy - index main initialized with [300,60,188697600,,,,1073741824,20,true,500000,20,5,true,6,0,_blocksignature,7776000,1000000,86400,10,77760000,2592000,131072,25,0,15,0,0,-1,18446744073709551615ms,2592000,true]
04-24-2012 14:30:26.406 INFO  HotDBManager - index=summary Setting hot mgr params: maxHotSpanSecs=7776000 snapBucketTimespans=false maxHotBuckets=3 maxDataSizeBytes=786432000 quarantinePastSecs=77760000 quarantineFutureSecs=2592000 
04-24-2012 14:30:26.406 INFO  AuditTrailManager - audit stanza does not exist in audit.conf - no signing will take place
04-24-2012 14:30:26.406 INFO  databasePartitionPolicy - index summary initialized with [300,60,188697600,,,,786432000,20,true,500000,5,5,true,3,0,_blocksignature,7776000,1000000,0,3,77760000,2592000,131072,25,0,15,0,0,-1,18446744073709551615ms,2592000,true]
04-24-2012 14:30:26.406 INFO  HotDBManager - index=summary_forwarders Setting hot mgr params: maxHotSpanSecs=7776000 snapBucketTimespans=false maxHotBuckets=3 maxDataSizeBytes=786432000 quarantinePastSecs=77760000 quarantineFutureSecs=2592000 
04-24-2012 14:30:26.406 INFO  AuditTrailManager - audit stanza does not exist in audit.conf - no signing will take place
04-24-2012 14:30:26.406 INFO  databasePartitionPolicy - index summary_forwarders initialized with [300,60,188697600,,,,786432000,20,true,500000,5,5,true,3,0,_blocksignature,7776000,1000000,0,3,77760000,2592000,131072,25,0,15,0,0,-1,18446744073709551615ms,2592000,true]
