04-30-2012 10:30:29.771 INFO  ApplicationManager - Initializing applications: /opt/splunk/etc/apps
04-30-2012 10:30:29.772 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkForwarder
04-30-2012 10:30:29.772 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/gettingstarted
04-30-2012 10:30:29.772 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkDeploymentMonitor
04-30-2012 10:30:29.772 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/legacy
04-30-2012 10:30:29.772 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/launcher
04-30-2012 10:30:29.772 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/SplunkLightForwarder
04-30-2012 10:30:29.772 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/user-prefs
04-30-2012 10:30:29.780 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/splunk_datapreview
04-30-2012 10:30:29.780 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/learned
04-30-2012 10:30:29.780 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/sample_app
04-30-2012 10:30:29.780 INFO  ApplicationManager - Found application directory: /opt/splunk/etc/apps/search
04-30-2012 10:30:29.780 INFO  ApplicationManager - Initialized 11 application(s): /opt/splunk/etc/apps
04-30-2012 10:30:29.780 INFO  ApplicationManager - Found 4 application(s) that might have global exports
04-30-2012 10:30:29.822 INFO  dispatchRunner - initing LicenseMgr in search process: nonPro=0
04-30-2012 10:30:29.825 INFO  LicenseMgr - Initing LicenseMgr
04-30-2012 10:30:29.831 INFO  ServerConfig - My GUID is "AE7C28AE-DB29-41C8-9480-4EBC75C88412".
04-30-2012 10:30:29.831 INFO  ServerConfig - My server name is "linux-ahv8.site-bigjava".
04-30-2012 10:30:29.831 INFO  ServerConfig - My hostname is "linux-ahv8.site".
04-30-2012 10:30:29.840 INFO  SSLCommon - added zlib compression
04-30-2012 10:30:29.845 INFO  ServerConfig - Setting HTTP server compression state=on
04-30-2012 10:30:29.846 INFO  ServerConfig - Setting HTTP client compression state=0 (false)
04-30-2012 10:30:29.846 INFO  ServerConfig - Default output queue for file-based input: parsingQueue.
04-30-2012 10:30:29.846 INFO  LMConfig - serverName=linux-ahv8.site-bigjava guid=AE7C28AE-DB29-41C8-9480-4EBC75C88412 
04-30-2012 10:30:29.846 INFO  LMConfig - connection_timeout=30
04-30-2012 10:30:29.846 INFO  LMConfig - send_timeout=30
04-30-2012 10:30:29.846 INFO  LMConfig - receive_timeout=30
04-30-2012 10:30:29.846 INFO  LMConfig - squash_threshold=1000
04-30-2012 10:30:29.846 INFO  LicenseMgr - Initing LicenseMgr is_splunkd=false
04-30-2012 10:30:29.846 INFO  LMStackMgr - closing stack mgr
04-30-2012 10:30:29.846 INFO  LMSlaveInfo - all slaves cleared
04-30-2012 10:30:29.860 INFO  LMStackMgr - created stack='download-trial'
04-30-2012 10:30:29.860 INFO  LMStackMgr - have to auto-set active stack group='Trial' reason='invalid/missing group id' gidStr='' oldGid=Invalid
04-30-2012 10:30:29.860 INFO  LMStackMgr - added pool auto_generated_pool_download-trial to stack download-trial
04-30-2012 10:30:29.860 INFO  LMStackMgr - added pool auto_generated_pool_forwarder to stack forwarder
04-30-2012 10:30:29.861 INFO  LMStackMgr - added pool auto_generated_pool_free to stack free
04-30-2012 10:30:29.861 INFO  LMStackMgr - init completed [AE7C28AE-DB29-41C8-9480-4EBC75C88412,Trial,0]
04-30-2012 10:30:29.861 INFO  LicenseMgr - StackMgr init complete...
04-30-2012 10:30:29.861 INFO  LMTracker - this is not splunkd, will perform partial init
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=Auth state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=FwdData state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=RcvData state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=DistSearch state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=RcvSearch state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=ScheduledSearch state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=Alerting state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=DeployClient state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=DeployServer state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=SplunkWeb state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=SyslogOutputProcessor state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=SigningProcessor state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LMTracker - setting feature=LocalSearch state=ENABLED (fs=1)
04-30-2012 10:30:29.861 INFO  LicenseMgr - Tracker init complete...
04-30-2012 10:30:29.874 INFO  AdminManager - added factory for admin handler: 'licenses'
04-30-2012 10:30:29.874 INFO  AdminManager - added factory for admin handler: 'pools'
04-30-2012 10:30:29.874 INFO  AdminManager - added factory for admin handler: 'stacks'
04-30-2012 10:30:29.874 INFO  AdminManager - added factory for admin handler: 'groups'
04-30-2012 10:30:29.874 INFO  AdminManager - added factory for admin handler: 'slaves'
04-30-2012 10:30:29.874 INFO  AdminManager - added factory for admin handler: 'localslave'
04-30-2012 10:30:29.874 INFO  AdminManager - added factory for admin handler: 'licensermessages'
